period,revenue,gross_profit,operating_income,net_income,ebitda,interest_expense,depreciation_amortization,total_assets,total_liabilities,equity,cash,total_debt,current_assets,current_liabilities,inventory,operating_cf,investing_cf,financing_cf,capex,free_cash_flow
2025-12-31,113829000000.0,68062000000.0,35934000000.0,34455000000.0,45455000000.0,298000000.0,6040000000.0,595281000000.0,180016000000.0,415265000000.0,30708000000.0,59291000000.0,206038000000.0,102745000000.0,,52402000000.0,-51776000000.0,7028000000.0,-27851000000.0,24551000000.0
2025-09-30,102346000000.0,60977000000.0,31228000000.0,34979000000.0,49741000000.0,143000000.0,5611000000.0,536469000000.0,149602000000.0,386867000000.0,23090000000.0,33713000000.0,173947000000.0,99550000000.0,,48414000000.0,-27777000000.0,-18383000000.0,-23953000000.0,24461000000.0
2025-06-30,96428000000.0,57389000000.0,31271000000.0,28196000000.0,39192000000.0,261000000.0,4998000000.0,502053000000.0,139137000000.0,362916000000.0,21036000000.0,35559000000.0,166216000000.0,87310000000.0,,27747000000.0,-24544000000.0,-5832000000.0,-22446000000.0,5301000000.0
2025-03-31,90234000000.0,53873000000.0,30606000000.0,34540000000.0,46310000000.0,34000000.0,4487000000.0,475374000000.0,130107000000.0,345267000000.0,23264000000.0,23564000000.0,162052000000.0,91654000000.0,,36150000000.0,-16194000000.0,-20201000000.0,-17197000000.0,18953000000.0
2024-12-31,96469000000.0,55856000000.0,30972000000.0,26536000000.0,36501000000.0,53000000.0,4205000000.0,450256000000.0,125172000000.0,325084000000.0,23466000000.0,22574000000.0,163711000000.0,89122000000.0,,39113000000.0,-16180000000.0,-19036000000.0,-14276000000.0,24837000000.0
2024-09-30,,,,,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,,,,,
