period,revenue,net_income,free_cash_flow,gross_margin,op_margin,ebitda_margin,net_margin,fcf_margin,op_cf_margin,roe,roa,current_ratio,quick_ratio,debt_to_equity,net_debt,interest_coverage
TTM,402837000000.0,132170000000.0,73266000000.0,59.7,32.0,44.9,32.8,18.2,40.9,31.8,22.2,2.01,2.01,0.14,28583000000.0,175.32
2025-12-31,113829000000.0,34455000000.0,24551000000.0,59.8,31.6,39.9,30.3,21.6,46.0,8.3,5.8,2.01,2.01,0.14,28583000000.0,120.58
2025-09-30,102346000000.0,34979000000.0,24461000000.0,59.6,30.5,48.6,34.2,23.9,47.3,9.0,6.5,1.75,1.75,0.09,10623000000.0,218.38
2025-06-30,96428000000.0,28196000000.0,5301000000.0,59.5,32.4,40.6,29.2,5.5,28.8,7.8,5.6,1.9,1.9,0.1,14523000000.0,119.81
2025-03-31,90234000000.0,34540000000.0,18953000000.0,59.7,33.9,51.3,38.3,21.0,40.1,10.0,7.3,1.77,1.77,0.07,300000000.0,900.18
2024-12-31,96469000000.0,26536000000.0,24837000000.0,57.9,32.1,37.8,27.5,25.7,40.5,8.2,5.9,1.84,1.84,0.07,-892000000.0,584.38
2024-09-30,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
