period,revenue,gross_profit,operating_income,net_income,ebitda,interest_expense,depreciation_amortization,total_assets,total_liabilities,equity,cash,total_debt,current_assets,current_liabilities,inventory,operating_cf,investing_cf,financing_cf,capex,free_cash_flow
2025-12-31,81273000000.0,55295000000.0,38275000000.0,38458000000.0,58180000000.0,736000000.0,9198000000.0,665302000000.0,274427000000.0,390875000000.0,24296000000.0,57607000000.0,180190000000.0,130005000000.0,1059000000.0,35758000000.0,-22705000000.0,-17617000000.0,-29876000000.0,5882000000.0
2025-09-30,77673000000.0,53630000000.0,37961000000.0,27747000000.0,48060000000.0,698000000.0,13061000000.0,636351000000.0,273275000000.0,363076000000.0,28849000000.0,60556000000.0,189066000000.0,134996000000.0,1130000000.0,45057000000.0,-34559000000.0,-11799000000.0,-19394000000.0,25663000000.0
2025-06-30,76441000000.0,52427000000.0,34323000000.0,27233000000.0,44434000000.0,615000000.0,11203000000.0,619003000000.0,275524000000.0,343479000000.0,30242000000.0,60588000000.0,191131000000.0,141218000000.0,938000000.0,42647000000.0,-30572000000.0,-10844000000.0,-17079000000.0,25568000000.0
2025-03-31,70066000000.0,48147000000.0,32000000000.0,25824000000.0,40711000000.0,594000000.0,8740000000.0,562624000000.0,240733000000.0,321891000000.0,28828000000.0,60567000000.0,156644000000.0,114206000000.0,848000000.0,37044000000.0,-12714000000.0,-13036000000.0,-16745000000.0,20299000000.0
2024-12-31,69632000000.0,47833000000.0,31653000000.0,24108000000.0,35626000000.0,594000000.0,5667000000.0,533898000000.0,231203000000.0,302695000000.0,17482000000.0,62224000000.0,147080000000.0,108882000000.0,909000000.0,22291000000.0,-14112000000.0,-11243000000.0,-15804000000.0,6487000000.0
2024-09-30,,,,,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,,,,,
