period,revenue,net_income,free_cash_flow,gross_margin,op_margin,ebitda_margin,net_margin,fcf_margin,op_cf_margin,roe,roa,current_ratio,quick_ratio,debt_to_equity,net_debt,interest_coverage
TTM,305453000000.0,119262000000.0,77412000000.0,68.6,46.7,62.7,39.0,25.3,52.5,30.5,17.9,1.39,1.38,0.15,33311000000.0,53.94
2025-12-31,81273000000.0,38458000000.0,5882000000.0,68.0,47.1,71.6,47.3,7.2,44.0,9.8,5.8,1.39,1.38,0.15,33311000000.0,52.0
2025-09-30,77673000000.0,27747000000.0,25663000000.0,69.0,48.9,61.9,35.7,33.0,58.0,7.6,4.4,1.4,1.39,0.17,31707000000.0,54.39
2025-06-30,76441000000.0,27233000000.0,25568000000.0,68.6,44.9,58.1,35.6,33.4,55.8,7.9,4.4,1.35,1.35,0.18,30346000000.0,55.81
2025-03-31,70066000000.0,25824000000.0,20299000000.0,68.7,45.7,58.1,36.9,29.0,52.9,8.0,4.6,1.37,1.36,0.19,31739000000.0,53.87
2024-12-31,69632000000.0,24108000000.0,6487000000.0,68.7,45.5,51.2,34.6,9.3,32.0,8.0,4.5,1.35,1.34,0.21,44742000000.0,53.29
2024-09-30,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
